title,company,location,contract_type,posted_date,education_level,skills,languages,salary_range,description,url
VES Payroll BPO,Valeo,Cergy-Pontoise,CDI,2025-04-01,Not specified,administration of payroll tools; management of time and attendance systems; functional analysis; report management; mass control checks; writing procedures; training delivery; compliance with internal controls; harmonization and standardization of processes; project management,French; English,Not specified,"Valeo is seeking a VES Payroll Delivery Manager/Specialist to manage and evolve payroll and time management tools, ensuring compliance with legal and operational standards. The role includes administering payroll systems, coordinating with service providers, and standardizing processes within the payroll network.",https://www.glassdoor.fr/job-listing/j?jl=1009693836007
Talent Acquisition Intern,VF Corporation,Paris,Internship,2025-04-01,Not specified,Talent Acquisition; Human Resources; People Management; Recruitment Projects,English,Not specified,"The Talent Acquisition Intern role at VF Corporation’s EMEA headquarters in Stabio, Switzerland, offers a structured 12-month internship that emphasizes HR experience in a dynamic environment. Interns will support the Talent Acquisition team by engaging in various hiring activities, collaborating with different HR teams, and eventually leading recruitment projects aligned with the company’s goals.",https://www.glassdoor.fr/job-listing/j?jl=1009693767175
Manufacturing Engineering Intern,M/A Com Technolgy Solutions,Paris,Internship,2025-04-01,Bachelor's,Project Management Methodologies; health and safety compliance; environmental compliance; manufacturing experience with assembly equipment,Not specified,Not specified,"MACOM, based in Lowell, Massachusetts, is seeking a Manufacturing Intern Technician to support its operations across various global locations. The primary responsibilities of this role include creating detailed metric reports to address manufacturing issues, collaborating with operational leadership to enhance processes, managing the transition of capital equipment into production, and ensuring compliance with relevant legislation and corporate policies.",https://www.glassdoor.fr/job-listing/j?jl=1009693686796
Chargé(e) d’études (H/F)- cdi,Picard,Issy-les-Moulineaux,CDI,2025-04-01,Not specified,Autocad; Pack Office,Not specified,Not specified,"Picard is seeking a Chargé(é) d’études to join their dynamic team in a significant expansion phase across France. This role, based in Issy-les-Moulineaux, involves contributing to the opening of new stores and remodeling existing ones, reporting to the head of the studies office within the technical department.",https://www.glassdoor.fr/job-listing/j?jl=1009691277386
Business Analyst / Consultant Fonctionnel - H/F,Seyos,Le Plessis-Robinson,Not specified,2025-04-01,Bac +5 (école d'ingénieur ou université),modélisation de processus métier; UML; rédaction des dossiers de spécifications générales et détaillées; analyse et conception fonctionnelle; définition des plans de tests; animation de tests usine; remontées d'anomalies et correction; qualification des retours clients,Not specified,45000.0 - 60000.0 EUR yearly,"Seyos, a recruitment firm specializing in IT, Tech, and Engineering roles, is seeking a Business Analyst for a client specializing in interactive web and mobile application solutions, with a strong presence in the public sector and CAC 40 companies. The role is based in Le Plessis-Robinson and offers remote work options (up to two days per week) with a competitive salary range of €45,000 to €60,000, depending on experience.",https://www.glassdoor.fr/job-listing/j?jl=1009691273563
Directeur Marketing & Communication,Videlio,Gennevilliers,Not specified,2025-04-01,"Bac +5 (Master Marketing, Communication, Stratégie, Digital ou équivalent)",inbound marketing; SEO; SEA; marketing automation; CRM; stratégies marketing globales; branding; communication corporate; media; influence; pilotage de la performance marketing,Anglais courant; italien; allemand,Not specified,"Le Directeur Marketing & Communication Groupe est responsable de la définition et de la mise en œuvre de la stratégie marketing et communication globale de l'entreprise, avec pour objectifs de renforcer la notoriété de la marque, de soutenir la croissance des Business Units (BU), et d'assurer la cohérence des actions à l'international.",https://www.glassdoor.fr/job-listing/j?jl=1009693259642
Business Developer - Audiovisuel (H/F),Talents Commerciaux,Saint-Denis,Not specified,2025-04-01,Not specified,développement commercial; vente de services informatiques; prospection; négociation; analyse des besoins; gestion des risques; rédaction de propositions commerciales; suivi d'activité,Anglais courant,50000.0 - 70000.0 EUR yearly,"Talents Commerciaux, a recruitment agency specializing in Commerce and Marketing, is seeking a dynamic professional to join a growing group focused on audiovisual integration for major accounts and large SMEs. The position is based in Île-de-France and involves significant field presence in a flexible, performance-oriented work environment. Key responsibilities include identifying new business opportunities, conducting market surveillance, and engaging with decision-makers.",https://www.glassdoor.fr/job-listing/j?jl=1009691973962
Approvisionneur H/F,REMA TIP TOP France,Trappes,CDI,2025-04-01,Bac + 2,chaîne d'approvisionnement; Pack Office; SAP Business One; règlementations douanières; procédures d’assurance qualité; analyse de données,anglais,3000.0 - 3200.0 EUR monthly,"Rema Tip Top France, filiale d'un grand groupe allemand, recherche un(e) Approvisionneur(se) pour son siège à Trappes. Le candidat sera responsable de l'approvisionnement des produits en respectant les délais, tout en optimisant les niveaux de stock pour soutenir les opérations commerciales.",https://www.glassdoor.fr/job-listing/j?jl=1009693755527
Conseiller de Vente en alternance (H/F),Euridis Ecole de Commerce,Paris,Not specified,2025-04-01,Bac,relation client; gestion des commandes; élaboration de devis; service après-vente; utilisation d'outils commerciaux; gestion des stocks; découpe de produits; teinte de produits; actions commerciales,Not specified,Not specified,"Nous recherchons un(e) conseiller(ère) technique de vente passionné(e) et engagé(e) pour intégrer notre équipe dans une alternance en partenariat avec Euridis Business School, dans le cadre du BTS Conseil et Commercialisation de Solutions Techniques à la rentrée 2025.",https://www.glassdoor.fr/job-listing/j?jl=1009691265518
Product Business Analyst Intern,Mirakl - Labs,Paris,Internship,2025-04-01,Not specified,Product Board; Figma; Google Analytics; Metabase,Not specified,Not specified,"Mirakl, un leader de l'économie de plateforme, recherche un(e) stagiaire Product Business Analyst pour son équipe à Paris. Au cours de ce stage d'une durée minimale de 12 mois, le ou la candidat(e) participera au développement de la plateforme Mirakl, en se concentrant sur l'analyse des données inter-produits et en concevant des tableaux de bord analytiques pour améliorer l'expérience utilisateur.",https://www.glassdoor.fr/job-listing/j?jl=1009691464280
