title,company,location,contract_type,posted_date,education_level,skills,languages,salary_range,description,url
Papernest,Barcelona,Internship,2023-10-01,"Bachelor's degree in Marketing, Business, or related field","SEO tools (e.g., Google Analytics, SEMrush); Content creation; Data analysis",French; English,Not specified,"As a Junior SEO Project Manager at Papernest, you will be responsible for optimizing our website and improving our search engine rankings. You will work closely with the marketing team to develop and implement SEO strategies that drive traffic and increase conversions.",nan,https://skema.jobteaser.com/en/job-offers/0fcd6f10-778b-4523-9523-ff6f1f61b9df-papernest-junior-seo-project-manager-stage-french-market-barcelone
Stage Consultant(e) ERP F/H,CGI,"Lille, France",Internship,2023-10-01,Master's degree in Business or IT,ERP systems; Business analysis; Project management,French; English,Not specified,"Join CGI as an ERP Consultant Intern and work on exciting projects that help our clients optimize their business processes. You will be involved in the implementation and support of ERP solutions, working closely with clients to understand their needs and deliver tailored solutions.",https://skema.jobteaser.com/en/job-offers/2b204f4a-fe9f-4c9f-9393-032dde1164b6-cgi-stage-consultant-e-erp-f-h
EY Consultant Junior Design Strategist (F/H),EY Fabernovel,Paris,Stage (Internship),Mai 2025,Master's degree or equivalent,Design thinking; User experience design; Prototyping; Research and analysis,French; English,Not specified,Join EY Fabernovel as a Junior Design Strategist and contribute to innovative projects that shape the future of businesses. You will work closely with clients to understand their needs and help design solutions that drive growth and transformation.,https://skema.jobteaser.com/en/job-offers/e3979b91-f4a0-40b3-82a6-af5ae7ade13f-ey-consultant-junior-design-strategist-f-h-ey-fabernovel-paris-stage-fin-d-etudes-6-mois-mai-2025
EY Consultant Junior en Data Analytics pour le secteur financier,EY,France,CDI,2023-10-01,Bachelor's degree in a relevant field,Data analysis; Statistical modeling; Data visualization tools,French; English,Not specified,Join EY as a Junior Consultant in Data Analytics for the financial sector. You will work with clients to analyze data and provide insights that drive business decisions. This role requires a strong analytical mindset and the ability to work collaboratively in a team environment.,https://skema.jobteaser.com/en/job-offers/8db1aa31-6a5f-421a-844f-fe4d590483ff-ey-consultant-junior-en-data-analytics-pour-le-secteur-financier
Stage Direction de la Stratégie et du Corporate Development M&A H/F,Edmond de Rothschild,"Paris, France",Internship,2023-10-01,Master's degree in Finance or Business,Financial analysis; Market research; Data analysis; Presentation skills,English; French,Not specified,"Edmond de Rothschild is looking for an intern to assist in the strategy and corporate development team, focusing on M&A activities. The role involves conducting market research, analyzing financial data, and supporting the team in various strategic initiatives.",https://skema.jobteaser.com/en/job-offers/0eca5b35-e027-4a56-8423-dbe93912dfb3-edmond-de-rothschild-stage-direction-de-la-strategie-et-du-corporate-development-m-a-h-f
Charge de Projet Ambassadeur Référent Coordinateur Nouvelles Techn.,Orange,France,CDI,2023-10-01,Bac +5,Gestion de projet; Communication; Analyse de données,Français; Anglais,Not specified,"En tant que Charge de Projet Ambassadeur Référent Coordinateur Nouvelles Technologies, vous serez responsable de la mise en œuvre de projets innovants au sein de l'entreprise. Vous travaillerez en étroite collaboration avec les équipes techniques et commerciales pour assurer le succès des initiatives technologiques.",https://skema.jobteaser.com/en/job-offers/eafdedfd-1dca-4b65-81c0-47fb8cde1e71-orange-charge-de-projet-ambassadeur-referent-coordinateur-nouvelles-techn-f-h
Stage Spécialiste de Certifications d'Applications,Genetec Europe,Remote,Internship,2023-10-01,Bachelor's degree in Computer Science or related field,Knowledge of software testing methodologies; Familiarity with certification processes; Strong analytical skills,English; French,Not specified,Genetec is looking for an intern to assist in the certification of applications. The role involves working closely with the development team to ensure compliance with industry standards and regulations.,https://skema.jobteaser.com/en/job-offers/e5cec3ad-be4b-4899-acf1-2f41cc058845-genetec-europe-stage-specialiste-de-certifications-d-applications
Stage Chargé d'études statistiques sur les sociétés d'assurance H/F,Banque de France,Paris,Stage,2023-10-01,Bac +5 en statistiques ou économétrie,Statistiques; Analyse de données; Utilisation de logiciels statistiques,Français; Anglais,Not specified,"La Banque de France recherche un stagiaire pour participer à des études statistiques sur les sociétés d'assurance. Le stagiaire sera impliqué dans la collecte, l'analyse et la présentation des données statistiques. Il travaillera en étroite collaboration avec les équipes de recherche et de statistiques.",https://skema.jobteaser.com/en/job-offers/103af32f-8433-40ac-b4cb-c612536c9a38-banque-de-france-stage-charge-d-etudes-statistiques-sur-les-societes-d-assurance-h-f
Stagiaire Assistant(e) Chef(fe) de Projet Événementiel F/H,Cartier,"Paris, France",Internship,2023-10-01,Bachelor's degree in Event Management or related field,Project management; Communication; Organizational skills; Attention to detail,French; English,Not specified,"Join Cartier as an intern in the Events team, where you will assist in the planning and execution of various events. You will be involved in project management, liaising with vendors, and ensuring that events run smoothly.",https://skema.jobteaser.com/en/job-offers/3b9741d1-94a4-4be7-a24b-9ca9cc38b086-cartier-stagiaire-assistant-e-chef-fe-de-projet-evenementiel-f-h
Stage Développeur BI H/F,Hermès,"Paris, France",Internship,2023-10-01,Bachelor's degree in Computer Science or related field,SQL; Data Visualization; ETL Processes; Python,French; English,Not specified,"Hermès is looking for a Business Intelligence Developer Intern to join our team in Paris. The intern will assist in developing BI solutions, analyzing data, and creating reports to support decision-making processes. The ideal candidate should have a strong analytical mindset and be proficient in BI tools.",https://skema.jobteaser.com/en/job-offers/157773da-812c-4551-8f8d-9b30c5e5b674-hermes-stage-developpeur-bi-h-f
EY Consultant Junior en Projets de Transformation Métier et IT - Secteur Bancaire (H/F),EY,"Paris, France",CDI,2023-10-01,Bac +5,Analyse des besoins; Conception de solutions; Accompagnement au changement,Français; Anglais,Not specified,"EY est un leader mondial des services d'audit, de fiscalité, de conseil et de services transactionnels. Nous sommes engagés à construire un monde de travail meilleur. Nos équipes sont composées de professionnels passionnés qui travaillent ensemble pour offrir des solutions innovantes à nos clients. En tant que Consultant Junior, vous participerez à des projets de transformation métier et IT dans le secteur bancaire. Vous serez impliqué dans l'analyse des besoins, la conception de solutions et l'accompagnement des équipes dans la mise en œuvre des changements.",https://skema.jobteaser.com/en/job-offers/93858f79-9eb9-495c-b39d-c05e97bf8acd-ey-consultant-junior-en-projets-de-transformation-metier-et-it-secteur-bancaire-h-f
EY Consultant Stagiaire en Transformation de la Fonction Finance (F/H),EY,Paris,Stage,Not specified,Master's degree or equivalent,Analytical skills; Project management; Communication skills; Teamwork,French; English,Not specified,"EY is a global leader in assurance, tax, transaction and advisory services. The Finance Transformation team helps organizations to improve their finance function and achieve their strategic objectives. As a consultant intern, you will work on various projects related to finance transformation, including process optimization, digital transformation, and performance improvement.",https://skema.jobteaser.com/en/job-offers/6273b005-b141-446d-bc57-e1c9d836e23e-ey-consultant-stagiaire-en-transformation-de-la-fonction-finance-f-h-paris
Stage Assistant(e) Chef de Projet E-Commerce H/F,Berluti - Groupe LVMH,"Paris, France",Stage,2023-10-01,Bac +3 minimum,E-commerce; Digital Marketing; Project Management,French; English,Not specified,"Berluti, a prestigious brand of the LVMH group, is looking for an intern to assist the E-Commerce project manager. The intern will be involved in various tasks related to the online sales strategy, including website management, digital marketing campaigns, and customer experience enhancement.",https://skema.jobteaser.com/en/job-offers/7cd226b8-4955-4191-8b5a-d7a52a747c0d-berluti-groupe-lvmh-berluti-stage-assistant-e-chef-de-projet-e-commerce-h-f
Biotechnology Junior Engineer Intern - Genetic Scaffold in Plants,Neoplants,"Paris, France",Internship,2023-10-01,Bachelor's degree in Biotechnology or related field,Molecular biology techniques; Data analysis; Laboratory skills,English; French,Not specified,"Neoplants is looking for a Biotechnology Junior Engineer Intern to work on genetic scaffolding in plants. The intern will assist in the development of innovative biotechnological solutions aimed at enhancing plant growth and resilience. Responsibilities include conducting experiments, analyzing data, and collaborating with the research team.",https://skema.jobteaser.com/en/job-offers/fb2a5c7a-0863-4aa2-99e7-8cd39aeeb6be-neoplants-biotechnology-junior-engineer-intern-genetic-scaffold-in-plants
Data Scientist (H/F),Allphins,"Paris, France",Full-time,2023-10-01,"Master's degree in Data Science, Statistics, or a related field",Python; R; SQL; Machine Learning; Data Visualization,English; French,"€40,000 - €60,000","Allphins is looking for a Data Scientist to join our team in Paris. The ideal candidate will have experience in data analysis, machine learning, and statistical modeling. You will work closely with our data engineering team to develop predictive models and algorithms that drive our business decisions.",https://skema.jobteaser.com/en/job-offers/a3e2f6dd-c8d9-4967-a22c-d56a6f7de3c3-allphins-data-scientist-h-f
Stage - Siège Social - Trésorerie / Cash Management - Back Office H/F,Air Liquide,"Paris, France",Internship,2023-10-01,Bachelor's degree in Finance or related field,Financial analysis; Excel proficiency; Attention to detail,English; French,Not specified,"Join Air Liquide as an intern in the Treasury and Cash Management department. You will assist in managing cash flows, optimizing liquidity, and supporting financial operations. This role offers a unique opportunity to gain insights into corporate finance and treasury management.",https://skema.jobteaser.com/en/job-offers/5c8ce818-9d36-4d6d-b3aa-9923e020ff32-air-liquide-stage-siege-social-tresorerie-cash-management-back-office-h-f
Operations Stage - Strategic Project Coordinator,AXA Group,"Paris, France",Internship,2023-10-01,Bachelor's degree or higher,Project management; Communication; Analytical skills; Team collaboration,English; French,Not specified,"As a Strategic Project Coordinator, you will support the operations team in managing various strategic projects. Your role will involve coordinating project activities, tracking progress, and ensuring timely delivery of project milestones. You will work closely with cross-functional teams and contribute to the overall success of the projects.",https://skema.jobteaser.com/en/job-offers/54c6f5d2-d306-45e0-8cb9-16b3408e073f-axa-group-operations-stage-strategic-project-coordinator
Consultant Stagiaire en Financement de Projets F/H,EY,"Paris, France",Stage,2023-10-01,Master's degree in Finance or related field,Financial modeling; Market analysis; Presentation skills,French; English,Not specified,"EY is looking for a Project Finance Intern to join our team in Paris. The intern will assist in the analysis and structuring of project financing solutions for our clients. Responsibilities include conducting market research, preparing financial models, and supporting the team in client presentations.",https://skema.jobteaser.com/en/job-offers/977f7a92-be32-4863-a252-a35e22a7c033-ey-consultant-stagiaire-en-financement-de-projets-f-h
Stagiaire Data Scientist H/F,SFR,"Paris, France",Internship,2023-10-01,Master's degree in Data Science or related field,Python; Machine Learning; Data Analysis; Statistics,French; English,Not specified,"SFR is looking for a Data Scientist intern to join our team in Paris. The intern will work on data analysis, machine learning models, and contribute to various projects aimed at improving our services. The ideal candidate should have a strong background in statistics and programming.",https://skema.jobteaser.com/en/job-offers/d0b60d7e-b6b0-4911-b7c3-2129d77f5867-sfr-stagiaire-data-scientist-h-f-si
EY Consultant Stagiaire en Stratégie des Opérations (F/H),EY,France,Stage,2023-10-01,Master's degree or equivalent,Analytical skills; Project management; Communication skills,French; English,Not specified,"Join EY as a Consultant Intern in Operations Strategy. You will work on various projects, helping clients improve their operational efficiency and effectiveness. This role involves analyzing data, developing strategies, and collaborating with teams to implement solutions.",https://skema.jobteaser.com/en/job-offers/d85edfa2-9e43-4adc-a7c6-bdd1e45af3fd-ey-consultant-stagiaire-en-strategie-des-operations-f-h
Stagiaire Contentieux - Direction Juridique,EY,Paris,Internship,July 2025,Master's degree in Law,Legal research; Document drafting; Case management,French; English,Not specified,"EY is looking for a legal intern to join its legal department in Paris. The intern will assist in various legal matters, including litigation and compliance. Responsibilities include conducting legal research, drafting documents, and supporting the legal team in case management.",https://skema.jobteaser.com/en/job-offers/254bdca9-af1a-467f-bfa2-333f3fda6e0b-ey-stagiaire-contentieux-direction-juridique-paris-juillet-2025-h-f
Analyste Risque Opérationnel,Société Générale,"Paris, France",CDI,2023-10-01,Master's degree in Finance or related field,Risk assessment; Data analysis; Financial modeling,English; French,Competitive salary,Société Générale is looking for an Analyst in Operational Risk. The role involves assessing and managing operational risks across various business units. Candidates should have a strong analytical mindset and be able to work collaboratively in a team environment.,https://skema.jobteaser.com/en/job-offers/eddb4a62-2369-4a6e-a918-6a05057bdcb2-societe-generale-analyste-risque-operationnel
Stage Data Manager H/F,Hermès,"Paris, France",Internship,2023-10-01,"Bachelor's degree in Data Science, Business Analytics, or related field",Data analysis; Excel; SQL; Python,English; French,Not specified,"As a Data Manager intern at Hermès, you will assist in managing and analyzing data to support various business functions. You will work closely with different teams to ensure data integrity and provide insights that drive decision-making.",https://skema.jobteaser.com/en/job-offers/f2eb3ebf-8623-41d0-a99f-d16488eb586e-hermes-stage-data-manager-h-f
Assistant Analyste de Données Supply Chain H/F,Pierre Hermé Paris,France,Stage,2023-10-01,Bac +3 minimum en logistique ou en data analysis,Analyse de données; Excel avancé; Outils de BI,Français; Anglais,Not specified,"Nous recherchons un(e) Assistant(e) Analyste de Données Supply Chain pour rejoindre notre équipe. Vous serez en charge de l'analyse des données relatives à la chaîne d'approvisionnement, de la création de rapports et de l'optimisation des processus. Vous travaillerez en étroite collaboration avec les équipes opérationnelles pour améliorer l'efficacité et la performance de la supply chain.",https://skema.jobteaser.com/en/job-offers/62449ff8-10a3-4f18-a61c-353a3fc0c425-pierre-herme-paris-france-assistant-analyste-de-donnees-supply-chain-h-f
Event Management Intern (Internship) F/M/X,Mantu Group,"Paris, France",Internship,2023-10-01,Bachelor's degree or equivalent,Event planning; Project management; Communication,English; French,Not specified,"As an Event Management Intern at Mantu Group, you will assist in the planning and execution of various events. Your responsibilities will include coordinating logistics, managing vendor relationships, and ensuring a seamless experience for attendees. This role requires strong organizational skills and the ability to work in a fast-paced environment.",https://skema.jobteaser.com/en/job-offers/cd316054-d736-4d28-820e-9f653c0106b4-mantu-group-event-management-intern-internship-f-m-x
Customer Experience Business Analyst (F/M),Sonepar,"Paris, France",Full-time,2023-10-01,Bachelor's degree in Business Administration or related field,Data analysis; Customer relationship management; Project management; Communication skills,English; French,Not specified,"As a Customer Experience Business Analyst at Sonepar, you will be responsible for analyzing customer data and providing insights to improve customer satisfaction. You will work closely with various teams to implement strategies that enhance the customer journey.",https://skema.jobteaser.com/en/job-offers/2cf9c0ac-15b2-4662-a671-aa89d9bcacfd-sonepar-customer-experience-business-analyst-f-m
Stage Modélisateur Data Analyst Risque de Crédit H/F,Banque de France,"Paris, France",Stage,2023-10-01,Bac +5 en statistiques ou finance,Statistiques; Modélisation; Analyse de données,Français; Anglais,Not specified,La Banque de France recherche un stagiaire pour rejoindre son équipe de modélisation des risques de crédit. Le candidat idéal aura une formation en statistiques ou en finance et sera capable de travailler avec des données complexes pour développer des modèles prédictifs.,https://skema.jobteaser.com/en/job-offers/fd074eef-97d1-4414-9a71-39bd680d3637-banque-de-france-stage-modelisateur-data-analyst-risque-de-credit-h-f
Assistant Marketing et Animation,Société Générale,"Paris, France",Internship,2023-10-01,Bachelor's degree in Marketing or related field,Digital Marketing; Event Management; Market Analysis; Creativity; Analytical Skills,English; French,Not specified,"Join Société Générale as an Assistant in Marketing and Animation. You will be responsible for supporting the marketing team in various projects, including digital marketing campaigns, event organization, and market analysis. This role requires creativity, analytical skills, and a passion for marketing.",https://skema.jobteaser.com/en/job-offers/811c88f8-73a5-4ef8-8393-aec07652aa01-societe-generale-assistant-marketing-et-animation
Chargé d'étude - Remplacement d'Elastic Search & Cloudification (H/F),Banque de France,"Paris, France",CDD,2023-10-01,Bac +5 en informatique ou équivalent,Elastic Search; Cloud Computing; Analyse de données,Français; Anglais,Not specified,La Banque de France recherche un Chargé d'étude pour un remplacement temporaire dans le cadre de la cloudification de ses services. Le candidat sera responsable de l'analyse et de la mise en œuvre des solutions Elastic Search dans un environnement cloud.,https://skema.jobteaser.com/en/job-offers/4598e89d-c311-435c-8d98-ea6cb4411a3e-banque-de-france-charge-d-etude-remplacement-d-elastic-search-cloudification-h-f
Stagiaire Anti-Blanchiment - Connaissance Clients et Complétude,Neuflize OBC,"Paris, France",Internship,2023-10-01,"Bachelor's degree in Finance, Law, or related field",Analytical skills; Attention to detail; Database management,French; English,Not specified,"Neuflize OBC is looking for an intern in the Anti-Money Laundering (AML) department. The intern will assist in client knowledge and completeness checks, ensuring compliance with regulatory requirements. Responsibilities include analyzing client files, updating databases, and preparing reports. The ideal candidate should be detail-oriented and possess strong analytical skills.",https://skema.jobteaser.com/en/job-offers/9f8fe322-5f44-4e1c-aff8-dd0e41579e22-neuflize-obc-stagiaire-anti-blanchiment-connaissance-clients-et-completude
Product Owner Intern (H/F),Wiremind,Paris,Internship,2023-10-01,"Bachelor's degree in Business, Computer Science, or related field",Agile methodologies; Product management; Communication skills; Analytical thinking,English; French,Not specified,"As a Product Owner Intern at Wiremind, you will be responsible for defining product requirements, collaborating with the development team, and ensuring the successful delivery of our software solutions. You will work closely with stakeholders to gather feedback and iterate on product features.",https://skema.jobteaser.com/en/job-offers/a4d9cfac-166d-45fa-ab88-1f0872c631ae-wiremind-product-owner-intern-h-f-paris
